"","k.star.lme","k.star.mcmc","se.lme","se.mcmc"
"Eriophorum_angustifolium",0.708714253502553,0.685167617878394,0.406739204744194,0.40308479284504
"Eriophorum_vaginatum",0.449472741496109,0.429726619345556,0.385897634290764,0.381431654841342
"Eriostemon_australasius",0.504088152955394,0.506277689263127,0.559840810388483,0.567870066752648
"Erodium_botrys",1.96784854920834,1.94345220035064,0.66144497344018,0.654568308797795
"Erodium_cicutarium",2.39981069262215,2.40219101529544,0.500107462911568,0.508100669900384
"Erodium_stephanianum",2.01420726003773,1.98221671231109,0.419373641102531,0.419570191311909
"Eryngium_agavifolium",2.34208002256417,2.32727691552154,0.513269368925244,0.518289011042528
"Eryngium_horridum",0.566032214340871,0.566394188870416,0.503395288730162,0.495037669605082
"Escallonia_sp",1.62692367329489,1.59579195425395,0.534758298002769,0.536903426806406
"Eschweilera_sagotiana",0.527840827895105,0.492894092607317,0.612138328546658,0.609114325987354
"Eucalyptus_camaldulensis",1.22240440077452,1.20024824094181,0.539455414307685,0.54913096024452
"Eucalyptus_dumosa",0.420452744007369,0.404401114015181,0.559840810388489,0.568828473449964
"Eucalyptus_globulus",0.637551880980217,0.626455287030404,0.432383447956824,0.414783940834432
"Eucalyptus_haemastoma",0.219218371921321,0.216164234777385,0.466157062491845,0.466732231431114
"Eucalyptus_intertexta",0.864491624742875,0.858015971942228,0.46615706249183,0.474476848599529
"Eucalyptus_robusta",0.850734166515109,0.830074152388212,0.49963880014034,0.485981455255467
"Eucalyptus_socialis",0.660648535727645,0.650751500977474,0.559840810388506,0.553214123457037
"Eucalyptus_umbra",-0.142478208860592,-0.141151462086342,0.46615706249183,0.4570074525618
"Eugenia_hiemalis",1.27774459471088,1.25487713914796,0.534758298002789,0.536185493447908
"Euonymus_alatus",1.31105315607969,1.28413174662228,0.496802938332965,0.505430002675714
"Euonymus_atropurpureus",3.00196394599992,2.9722581689573,0.496802938332971,0.489327285416703
"Euonymus_bungeanus",3.09503054940635,3.07002086871006,0.496802938332971,0.50147483027649
"Euonymus_europaeus",2.3253362223698,2.29264675619823,0.423506459452716,0.424617970518538
"Euonymus_europeaus",2.84190086293429,2.8160153124031,0.496802938332966,0.504396585109549
"Euonymus_hamiltonianus",2.06892058348613,2.04361630291321,0.496802938332955,0.497611009694055
"Euonymus_obovatus",2.34357540538479,2.32935126617562,0.49680293833297,0.495879309668621
"Euonymus_phellomanus",1.01558901080742,1.00726632331107,0.496802938332971,0.516660725212891
"Eupatorium_argentinum",1.9003710583063,1.86824982749658,0.511649115090397,0.517668841840595
"Eupatorium_japonicum",1.87366576504939,1.85904880184714,0.444165249313698,0.447958391237262
"Eupatorium_saltense",2.68204776623758,2.64011659809662,0.534758298002769,0.540341670864133
"Euphorbia_brachycera",1.58071634929982,1.55088101875544,0.500107462911566,0.49988876113038
"Euphorbia_serpyllifolia",2.50502114725855,2.47537516758936,0.500107462911574,0.502340617053206
"Euphrasia_frigida",1.75696225109091,1.71969691260824,0.489161703539952,0.485796373020272
"Eurya_japonica",1.40352806544488,1.40058320828638,0.444165249313695,0.437439737890691
"Evernia_prunastri",1.95755455472112,1.93203638934943,0.528211758492829,0.540716338002907
"Fagara_coco",3.14081218737299,3.12412426268767,0.451580127835372,0.446975224770522
"Fagus_grandifolia",0.309665624932813,0.286903967738955,0.503875235895239,0.513212433803638
"Fagus_sylvatica",0.456534256337002,0.433432705861503,0.359109301820822,0.360647740916687
"Fargesia_altior",0.781439046182463,0.787156976148076,0.498233923470901,0.497796683144388
"Ferula_borealis",2.97527025127309,2.95286863617667,0.419373641102528,0.428962234372471
"Festuca_arizonica",1.29004557941512,1.27098380606769,0.500107462911573,0.496947538456854
"Festuca_brunnescens",1.54697325154472,1.52757133119622,0.500753815983558,0.516675534299436
